Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.67510646,15.39366346,16.00675063,16.58568242,17.12885834,17.64032247,18.12411887,18.58429164,19.02488484,19.44994255,19.86350885,20.26668579,20.64833314,21.00284527,21.33831591,21.66123155,21.97807867,22.29534374,22.61951325,22.95707368,23.3145115,23.69992148,24.11323835,24.55255575,25.00948099,25.47695407,25.947915,26.41530378,26.87206041,27.31112491,27.72543726,28.11001627,28.47879729,28.84070361,29.19444423,29.53950995,29.87539155,30.20157984,30.5175656,30.82283963,31.11689273,31.39921569,31.67373473,32.1578465,32.67831963
Bulgaria,BGR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.14136505,63.01048279,63.88863754,64.64579773,65.61037445,64.95599331,65.25070953,66.00164795,66.70301056,67.31307983,67.0388031,67.08802795,67.15068822,67.42752838,67.72251129,67.83354187,67.69819641,67.65944672,67.86540222,68.04799652,68.26314545,69.19671198,69.48591614,69.78084564,69.91933441,70.08695984,70.50752258,70.68441772,70.90209961,71.30173492,71.51493073,72.61016539,72.76848602,72.96328216,73.08448792,73.10305786,73.17500305,73.39045715,73.6002121,73.7162323,73.32398987,73.34676562,73.4799164,73.73226716,73.94993569
Bahrain,BHR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.42852151,80.82673164,81.37600791,82.13300619,83.03010766,84.01003787,85.01552237,85.98928671,86.87405642,87.61255706,88.14751417,88.41416826,88.43772662,88.39633862,88.32725316,88.23947966,88.14202753,88.04390618,87.95412502,87.88169348,87.83562096,87.83971462,88.14278676,88.83253397,89.8569006,91.1681655,92.71860754,94.46050556,96.34613842,98.32778499,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bahamas,BHS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.10837755,73.94435158,74.85322963,75.79616971,76.73799681,77.64353596,78.47761216,79.20505042,79.79067574,80.19931314,80.40153305,80.50032856,80.5811536,80.64573252,80.69873298,80.74482266,80.78866921,80.8349403,80.8883036,80.95342676,81.03611616,81.15272052,81.30542068,81.48196146,81.67084109,81.8605578,82.03960984,82.19649543,82.31971281,82.39776021,82.41981044,82.41303475,82.39474853,82.36357911,82.3180931,82.25685714,82.17843786,82.08140187,81.96431582,81.82574633,81.66426002,81.47842353,81.3200717,81.32137992,81.3249263
Bosnia and Herzegovina,BIH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.80345373,36.31794063,36.75419253,37.14627607,37.50102232,37.82660663,38.13120436,38.42299087,38.71014151,39.00083164,39.30323662,39.62388191,39.95255342,40.2798709,40.60662301,40.93278702,41.2583402,41.58325981,41.90752311,42.23110737,42.55398986,42.87614784,43.19755857,43.51819932,43.83804735,44.15707993,44.47527433,44.7926078,45.10905762,45.42460104,45.73921533,46.05287776,46.3655656,46.69542247,47.13078348,47.57116451,48.02488458,48.49184018,48.97192783,49.465044,49.97108521,50.48994795,51.02152871,51.56572398,52.12243028
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.57102966,57.62915802,58.66596222,59.73419571,60.79632568,61.81503677,62.79890442,63.82526016,64.90213013,65.82656369,66.42697906,67.00628662,67.32085419,67.51796722,67.75859833,68.0162735,68.27374268,68.61459351,69.02342224,69.48076368,69.91722954,70.31472015,70.88047028,71.30924225,71.76585388,72.03101349,72.61138153,73.09134674,73.55316925,74.19096466,74.55014038,75.05975342,75.52810669,75.94970703,76.34052277,76.62638855,76.84587097,77.02082062,77.21327209,77.45507719,77.78903858,78.1310868,78.47327879,78.81464207,79.15510152
Belize,BLZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.65772315,51.29083031,50.84223191,50.33961088,49.80735482,49.26985134,48.75148807,48.27665262,47.86973259,47.55511559,47.35718925,47.29923777,47.3157094,47.35366669,47.40666217,47.46834208,47.53235269,47.59234023,47.64195097,47.67483116,47.68368475,47.62579932,47.48650099,47.2806246,47.02266559,46.7271194,46.40848146,46.08124721,45.75991207,45.45897149,45.19148382,44.94178191,44.6903068,44.43805424,44.18501618,43.93118459,43.67655143,43.42110867,43.16484828,42.90776222,42.64984244,42.39108092,42.13732513,41.94594375,41.75321073
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bolivia,BOL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,44.09477642,45.15659765,46.30872623,47.52743091,48.78898043,50.06964353,51.34568897,52.59338549,53.78900184,54.90880676,55.92906901,56.82605732,57.57766866,58.22683166,58.82925905,59.39120628,59.9202442,60.42394368,60.90987559,61.3856108,61.85872016,62.33748104,62.81876321,63.29187111,63.75646716,64.21330622,64.66314314,65.10673278,65.54483,65.97818964,66.40756657,66.83371563,67.25814448,67.66970555,68.03742541,68.39580513,68.74463279,69.08380163,69.41338798,69.73349867,70.04426355,70.34504128,70.63525987,70.9151414,71.23614538
Brazil,BRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.41804253,68.37259623,69.25577819,70.08291257,70.86074199,71.59600905,72.29545637,72.96582659,73.6138623,74.24630613,74.8699007,75.49345011,76.09108752,76.64064029,77.17103389,77.71449999,78.30214155,79.00084939,79.78906817,80.54660613,81.14843654,81.59604506,81.99434915,82.35403358,82.68168248,82.98387996,83.26721014,83.53825713,83.80360506,84.06983803,84.34384604,84.62257586,84.89738742,85.16765854,85.43313679,85.69356971,85.94870484,86.19828976,86.44207199,86.67979911,86.91121865,87.13607817,87.34955624,87.61597102,87.89585495
